Program,Hubspot ID,Time Zone,Program Name,Current Cohort,Deposit Paid Date,Status,payment_status,Current Payment Status,Payment Mode,Call Status,Upfront/Non-Upfront payment,Original SSA
EdgeUp,177121724955,America/Los_Angeles,EdgeUp Fullstack LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - Mid-May 2026,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Nishtha
EdgeUp,187035073423,America/Los_Angeles,EdgeUp 2026 Engineering Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Early-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
Paid Upgrade,207557605939,America/Chicago,Technical Program Manager Interview Preparation Pathway,TPM Interview Prep Pathway - 2nd Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_MANUAL_PAYMENT,Onboarded,Upfront Payment,Ajil
Step Up,215210219045,America/Chicago,Data Engineering Interview Prep Fast Track Program,Self-Paced Data Engineering FastTrack,29-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Refunded,CLIMBCREDIT,Incomplete OB ,Upfront Payment,Anjali
EdgeUp Step Up,215263204478,America/New_York,EdgeUp 2026 AWS Cloud Solutions Architect StepUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Manish
EdgeUp,300000108112,America/New_York,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - 2nd Mid-May 2026,29-Apr-2026,REFUNDED,REFUNDED,Refunded,CLIMBCREDIT,Onboarded,Upfront Payment,Arush
EdgeUp,300000155813,America/Chicago,EdgeUp Fullstack LevelUp Program (with Agentic AI),Applied Agentic AI for SWEs - 2nd Mid-May 2026,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Archi
EdgeUp,300000156298,America/New_York,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - Early-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Manish
EdgeUp,97099756908,America/Chicago,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - Mid-May 2026,30-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,RAZORPAY_MANUAL_PAYMENT,VM - 4 Attempts,Upfront Payment,Arush
EdgeUp,300000156370,America/Chicago,EdgeUp Technical Program Manager LevelUp Program (with Agentic AI),Applied Agentic AI - Early-May 2026,29-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Manish
Fast Track ML,300000156655,America/New_York,Fast Track Machine Learning Program,Fast Track Advanced Machine Learning,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Samarth
Step Up,300000156830,America/Los_Angeles,Data Engineering Interview Prep Fast Track Program,Self-Paced Data Engineering FastTrack,29-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Kamal
Agentic SkillUp,14237856,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - Early-October 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sudhanshu
Agentic SkillUp,9626518,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI for SWEs - 2nd Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sudhanshu
EdgeUp,14238570,America/Los_Angeles,EdgeUp Engineering Manager LevelUp Program (with Agentic AI),Engineering Management Interview Prep - Mid-May 2026,30-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Sudhanshu
